Root no.(mor),cost,distance,demand,capacity
6,377.535,14.2,4100,6000
7 new(7+63),558.65,29.9,5865,6000
9,359.04,17.8,3290,3500
15,279.675,8.5,2000,3500
16 new ( 16+8),441.5,19.7,5520,6000
26new (26+10),328.475,11.5,3300,3500
28,410.575,27.1,4283,6000
35new (35=61),425.44,22.8,3100,3500
36 new(36+11),467.075,21.8,4884,6000
37new (37+27),433.91,18.2,5750,6000
43new(43+59),335.405,12.4,3400,3500
45,304.865,11.7,2412,3500
46new(46+62),344.535,14,3400,3500
57,329.065,14,2100,3500
58,282.59,9,2300,3500
60,424.215,24.7,2100,3500
